datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,fog,rain,snow,hail,thunder,tornado
20160113T1500,16,62,15,58,84,5.6,3.5,,,290,WNW,0.5,0,1015,29.97,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160113T1800,15,59,14,58,94,5.6,3.5,,,290,WNW,0.2,0,1016,30.00,-999,-999,-9999,-9999,,,Heavy Fog,1,0,0,0,0,0
20160113T2100,14,57,13,56,95,5.6,3.5,,,320,NW,0.2,0,1015,29.98,-999,-999,-9999,-9999,,,Heavy Fog,1,0,0,0,0,0
20160114T0000,14,58,13,56,90,7.4,4.6,,,290,WNW,0.5,0,1015,29.97,-999,-999,-9999,-9999,,,Heavy Fog,1,0,0,0,0,0
20160114T0200,14.0,57.2,12.0,53.6,88,7.4,4.6,-9999.0,-9999.0,290,WNW,0.6,0.4,1015,29.98,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160114T0300,14,58,12,54,83,9.3,5.8,,,230,SW,0.5,0,1016,30.02,-999,-999,-9999,-9999,,,Heavy Fog,1,0,0,0,0,0
20160114T0300,14.0,57.2,12.0,53.6,88,9.3,5.8,-9999.0,-9999.0,230,SW,0.7,0.4,1016,30.01,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160114T0400,15.0,59.0,12.0,53.6,82,3.7,2.3,-9999.0,-9999.0,250,WSW,0.8,0.5,1018,30.06,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160114T0500,15.0,59.0,12.0,53.6,82,5.6,3.5,-9999.0,-9999.0,320,NW,0.8,0.5,1019,30.09,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160114T0600,16,61,13,55,75,5.6,3.5,,,290,WNW,1,1,1018,30.07,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160114T0600,16.0,60.8,13.0,55.4,82,5.6,3.5,-9999.0,-9999.0,290,WNW,1.0,0.6,1018,30.06,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160114T0700,18.0,64.4,13.0,55.4,73,3.7,2.3,-9999.0,-9999.0,310,NW,1.0,0.6,1018,30.06,-999,-999,-9999,-9999,-9999.00,-9999.00,Smoke,0,0,0,0,0,0
20160114T0800,18.0,64.4,13.0,55.4,73,1.9,1.2,-9999.0,-9999.0,290,WNW,0.8,0.5,1017,30.04,-999,-999,-9999,-9999,-9999.00,-9999.00,Smoke,0,0,0,0,0,0
